,feature,scores,pvalues,support
2066,ICD_Dx_8760,18.897048966151008,1.4136227546542393e-05,True
2071,ICD_Dx_8793,25.485149679404387,4.654447373090629e-07,True
2122,ICD_Dx_9249,18.897048966150983,1.4136227546542393e-05,True
2124,ICD_Dx_9348,18.897048966150997,1.4136227546542393e-05,True
2163,ICD_Dx_99591,105.08907683954371,2.315359107349246e-24,True
2164,ICD_Dx_99592,76.94189655180547,2.5517988697602023e-18,True
2173,ICD_Dx_99659,32.81919294928227,1.0850623029305915e-08,True
2174,ICD_Dx_99660,18.897048966150972,1.4136227546542393e-05,True
2182,ICD_Dx_99670,18.897048966150972,1.4136227546542393e-05,True
2200,ICD_Dx_99749,132.49004714801075,3.439096065891308e-30,True
2206,ICD_Dx_99800,18.897048966150997,1.4136227546542393e-05,True
2208,ICD_Dx_99802,37.98119742701652,7.84180325061407e-10,True
2209,ICD_Dx_99809,16.94601639837038,3.9225892330581365e-05,True
2215,ICD_Dx_99831,14.12981642660878,0.0001730289473881695,True
2216,ICD_Dx_99832,27.745999716641368,1.455422801864141e-07,True
2218,ICD_Dx_99859,285.03842884733643,7.5574086013807925e-62,True
2222,ICD_Dx_99889,15.991682962996975,6.475865483611097e-05,True
2252,ICD_Dx_A403,18.897048966151104,1.4136227546542393e-05,True
2261,ICD_Dx_A4151,9.128877880189364,0.0025318246989939654,True
2266,ICD_Dx_A419,133.88010380340296,1.746101053911518e-30,True
2276,ICD_Dx_A5202,18.897048966151104,1.4136227546542393e-05,True
2283,ICD_Dx_A689,18.897048966151104,1.4136227546542393e-05,True
2295,ICD_Dx_B1920,10.071215065995204,0.0015173407047222092,True
2306,ICD_Dx_B348,18.897048966151115,1.4136227546542393e-05,True
2318,ICD_Dx_B3749,16.946016398369956,3.922589233059091e-05,True
2333,ICD_Dx_B952,14.129816426608112,0.00017302894738819194,True
2336,ICD_Dx_B955,16.94601639837059,3.9225892330581365e-05,True
2342,ICD_Dx_B9620,10.907169682757544,0.0009662612885599557,True
2343,ICD_Dx_B9629,23.915981088555824,1.0454729875270992e-06,True
2345,ICD_Dx_B964,31.778662073522693,1.845753144187535e-08,True
2346,ICD_Dx_B965,10.873521591576232,0.0009839264454085208,True
2350,ICD_Dx_B9689,29.225674906548047,6.814104930657882e-08,True
