,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.01}",0.8745672900623396,12.0,0.3844007332142186,12.0,0.8673231543215634,29.0,0.8662835590401521,0.8569229305638244,0.9024293494383592
1,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.05}",0.8715792690380149,20.0,0.36965265836681677,32.0,0.873730772294231,11.0,0.8706328700403896,0.862579200423647,0.9077098969110331
2,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.1}",0.8715951595159517,19.0,0.3754762279159428,27.0,0.8838731304913174,1.0,0.8758285816108339,0.8686190600746672,0.9169823872244878
3,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.5}",0.8616953917613983,37.0,0.3698490177329671,31.0,0.8707968173670686,17.0,0.9041325136612022,0.8995921513392876,0.9518582870346617
4,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 1}",0.8572387238723872,41.0,0.35410365435215996,44.0,0.8578570190110966,48.0,0.9240184723212165,0.9198806667850246,0.965485012613966
5,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.01}",0.8755549443833273,11.0,0.38207223412391744,14.0,0.8702959321511459,20.0,0.8665671774768354,0.8578298963401864,0.9003992281876576
6,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.05}",0.871833516685002,18.0,0.3748908783387684,28.0,0.8717354101263004,16.0,0.8722603349964363,0.8648092502789823,0.9102748859365045
7,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.1}",0.8787660432709938,8.0,0.3903197039985975,7.0,0.8739555682477516,9.0,0.8760943810881445,0.8686393406851524,0.9203083592916215
8,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.5}",0.8676280405818358,30.0,0.3820387445015093,15.0,0.8739275507105038,10.0,0.9079502257068187,0.9035241001103131,0.9526998245050529
9,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 1}",0.8475944261092776,49.0,0.34516092029008616,49.0,0.855271621900773,53.0,0.9283796626277028,0.9249377421038283,0.9660946736785055
10,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.01}",0.8918769099132134,2.0,0.4181214069190896,1.0,0.875925918371047,5.0,0.863285519125683,0.8516711046410664,0.9017822655339216
11,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.05}",0.8765395428431733,10.0,0.3802291776115211,18.0,0.8788112260855712,3.0,0.8725454383464004,0.8647590663257295,0.9100193960932126
12,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.1}",0.869852096320743,25.0,0.3649602899308782,37.0,0.8726858645846285,14.0,0.8733665953908292,0.8667782539148364,0.9167852066429877
13,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.5}",0.8562535142403128,43.0,0.35668542086380545,42.0,0.8623800045135004,41.0,0.9074067474459493,0.9028862910728792,0.9532899588188283
14,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 1}",0.8399168805769465,60.0,0.3315612991508842,57.0,0.8569490299859609,50.0,0.9272852815395582,0.9241648997986373,0.9653781822495985
15,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.01}",0.8797536975919813,7.0,0.38800007856871405,8.0,0.868019678246353,25.0,0.8643888096935137,0.8544379867255474,0.9010326442485473
16,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.05}",0.8871733284439554,3.0,0.40301142145832725,3.0,0.8739934214275353,8.0,0.8722662746495604,0.8629243258143273,0.9126183728838873
17,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.1}",0.8921250458379173,1.0,0.4131492989930551,2.0,0.8704322672212378,19.0,0.8755449631741508,0.8671150741217859,0.9179018293701213
18,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.5}",0.8505555555555555,48.0,0.35105281813222655,46.0,0.8663076499298045,32.0,0.91176051318603,0.9074440705617273,0.953916994056706
