,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'kernel': 'linear', 'C': 0.01}",0.9181084219533066,2.0,0.46548791880565304,2.0,0.8778594773146422,11.0,0.8325181159420291,0.8134882878737167,0.8769675634135232
1,"{'kernel': 'linear', 'C': 0.1}",0.9087073707370739,6.0,0.4453880292084141,7.0,0.8777411889608977,12.0,0.8295319553338085,0.8124357028663436,0.878864392309065
2,"{'kernel': 'linear', 'C': 0.25}",0.9039982887177607,8.0,0.43726717936014287,8.0,0.8816071444760454,5.0,0.8366031123782373,0.8195105754826238,0.8838889644487136
3,"{'kernel': 'linear', 'C': 0.5}",0.9171109888766653,3.0,0.46348364950473986,4.0,0.8796653420805877,8.0,0.82327007602756,0.8025062867348565,0.8768551048697338
4,"{'kernel': 'linear', 'C': 1}",0.9215694902823616,1.0,0.4784249737373509,1.0,0.8781675949453975,10.0,0.8259844975053456,0.8053315914894894,0.8796760331108636
5,"{'kernel': 'linear', 'C': 2}",0.9141486370859309,4.0,0.4645260882117723,3.0,0.8809015911221973,6.0,0.8360655737704918,0.8162743488703841,0.8840483340278451
6,"{'kernel': 'rbf', 'C': 0.01}",0.9015285417430633,9.0,0.43551127670117484,9.0,0.8802736317683078,7.0,0.8349652530292232,0.8200897195776008,0.8844994833337905
7,"{'kernel': 'rbf', 'C': 0.1}",0.8881683168316832,12.0,0.405323281239837,12.0,0.8883131019079737,2.0,0.8300709788548348,0.8176280331923336,0.8895607783243697
8,"{'kernel': 'rbf', 'C': 0.25}",0.8933651142892067,11.0,0.414767678395701,11.0,0.8882013879175474,3.0,0.8246258018531718,0.812484772975141,0.8916658743336623
9,"{'kernel': 'rbf', 'C': 0.5}",0.8943588803324778,10.0,0.4167078228220866,10.0,0.8898310756118157,1.0,0.8455898075552387,0.8325126248712348,0.9000906530473622
10,"{'kernel': 'rbf', 'C': 1}",0.910935093509351,5.0,0.4564634178761563,5.0,0.8838839237147209,4.0,0.8444894868139701,0.8289253228086408,0.8997102465059766
11,"{'kernel': 'rbf', 'C': 2}",0.9049841095220634,7.0,0.44844356368492794,6.0,0.8788712315186082,9.0,0.8521323354716085,0.8379382252873308,0.9012264019267733
