,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'entropy'}",0.8644212198997678,9.0,0.3673204277168066,10.0,0.852174643485277,23.0,0.9335516155856498,0.9300895502863702,0.963592937936947
1,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'gini'}",0.8441345801246791,19.0,0.33782614511414644,17.0,0.8554251715712938,18.0,0.9349103112378238,0.9312626531603609,0.9651517437344774
2,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'entropy'}",0.8656527319398606,8.0,0.379064892318471,7.0,0.8834695745070766,6.0,0.8464094796863864,0.8399423808918174,0.8930354095617323
3,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'gini'}",0.8631884855152181,10.0,0.37464473046123153,8.0,0.8836877766704484,5.0,0.8346875742456641,0.8285488679484413,0.8883360991827665
4,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'entropy'}",0.8453599804424886,18.0,0.3363979014780139,18.0,0.8302269855192403,32.0,0.9370871941078642,0.9336776076679575,0.9675463618044093
5,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'gini'}",0.8461190563500793,17.0,0.3256842618653797,25.0,0.8459585287348729,29.0,0.9379009265858874,0.9347116286074646,0.9663625001382956
6,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'entropy'}",0.8565028725094732,14.0,0.34777958749252746,14.0,0.8560522348626135,17.0,0.9371035281539557,0.9335536272560307,0.9678570168023037
7,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'gini'}",0.8582373792934851,12.0,0.34549752168388126,16.0,0.8370332857699759,31.0,0.9384444048467572,0.935232213172025,0.9673961648898792
8,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.8619276372081653,11.0,0.3671442600912411,11.0,0.8520688044922604,25.0,0.9395373010216203,0.935657185529316,0.9647914587558756
9,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",0.8379336266960029,22.0,0.3334033662458715,19.0,0.8596617262617079,13.0,0.9463500831551437,0.9435143261989826,0.9662750710620438
10,"{'n_estimators': 100, 'max_depth': 2, 'criterion': 'entropy'}",0.8861954528786212,3.0,0.40334410977542917,4.0,0.8888228125712316,1.0,0.847258850083155,0.8380550360016603,0.8922125570737303
11,"{'n_estimators': 100, 'max_depth': 2, 'criterion': 'gini'}",0.8866953917613983,2.0,0.4165008494163122,1.0,0.8831998928610283,7.0,0.8464124495129484,0.8373651475248284,0.8914938241190106
12,"{'n_estimators': 100, 'max_depth': 20, 'criterion': 'entropy'}",0.835962596259626,24.0,0.324755556544121,26.0,0.8484112041656307,28.0,0.9526075077215491,0.9502830783325615,0.9677958633529948
13,"{'n_estimators': 100, 'max_depth': 20, 'criterion': 'gini'}",0.8409222588925559,21.0,0.329457772311312,21.0,0.865828576188145,10.0,0.9517937752435257,0.9493799084916368,0.9677952443304324
14,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'entropy'}",0.82830521941083,31.0,0.31638629544252195,30.0,0.8562890762606716,16.0,0.95179971489665,0.9494352837471783,0.9666295295023515
15,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'gini'}",0.8235943038748319,32.0,0.3092809146994268,32.0,0.8552288577800573,19.0,0.9523417082442386,0.9500602860299809,0.967993048212132
16,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'entropy'}",0.8550079452389683,15.0,0.35634268860096313,13.0,0.8625633347061626,11.0,0.941717153718223,0.9381397374470696,0.9646102198685588
17,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'gini'}",0.853036303630363,16.0,0.3473305677864411,15.0,0.8521191580282027,24.0,0.9430817890235209,0.9396916675013669,0.9662635475934428
18,"{'n_estimators': 200, 'max_depth': 2, 'criterion': 'entropy'}",0.8661398362058428,7.0,0.38146952162466496,6.0,0.8870788133573708,3.0,0.8515680684248039,0.8444061511963905,0.8974419411872313
19,"{'n_estimators': 200, 'max_depth': 2, 'criterion': 'gini'}",0.8859405940594058,4.0,0.40647322542200975,3.0,0.885988399915558,4.0,0.8483071988595865,0.8396550651170482,0.8934184987988184
20,"{'n_estimators': 200, 'max_depth': 20, 'criterion': 'entropy'}",0.8357279061239458,25.0,0.32796966761984275,24.0,0.8509227550354346,26.0,0.9534301496792589,0.9511361838202067,0.9689159091598004
21,"{'n_estimators': 200, 'max_depth': 20, 'criterion': 'gini'}",0.8349682190441265,26.0,0.3207647253272624,29.0,0.8545246068333231,21.0,0.9517922903302447,0.9493515863289181,0.9669580037242147
22,"{'n_estimators': 200, 'max_depth': None, 'criterion': 'entropy'}",0.8322509473169539,28.0,0.328236653911552,23.0,0.8702512496308902,9.0,0.95179971489665,0.9494817852685372,0.9684644442789132
23,"{'n_estimators': 200, 'max_depth': None, 'criterion': 'gini'}",0.8322448355946707,29.0,0.3141307452191802,31.0,0.8546724668707778,20.0,0.9501588857210738,0.9476645888343423,0.9683685951816502
24,"{'n_estimators': 50, 'max_depth': 10, 'criterion': 'entropy'}",0.868872387238724,6.0,0.3712967333768843,9.0,0.8489131376209643,27.0,0.9370946186742695,0.933124313482325,0.9655366534808907
25,"{'n_estimators': 50, 'max_depth': 10, 'criterion': 'gini'}",0.8574831927637208,13.0,0.35954548691924143,12.0,0.856676763761967,15.0,0.9406376217628891,0.9370566338146882,0.9651491339791001
26,"{'n_estimators': 50, 'max_depth': 2, 'criterion': 'entropy'}",0.8869368047915904,1.0,0.4093321229145859,2.0,0.8881789887816527,2.0,0.8529416132097886,0.8437655603675486,0.8938478634232295
27,"{'n_estimators': 50, 'max_depth': 2, 'criterion': 'gini'}",0.8755518885221856,5.0,0.3928807643255871,5.0,0.8815285192351527,8.0,0.8513022689474935,0.8442712247376003,0.8939802413342873
28,"{'n_estimators': 50, 'max_depth': 20, 'criterion': 'entropy'}",0.8367106710671066,23.0,0.32882720987219616,22.0,0.8528846172525799,22.0,0.9507097885483488,0.9483669039545385,0.967647576116676
29,"{'n_estimators': 50, 'max_depth': 20, 'criterion': 'gini'}",0.8295300085564113,30.0,0.3245712496155476,27.0,0.858209335919692,14.0,0.9515235210263722,0.9493021726790977,0.9687666670843758
