,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.01}",0.8349663855274416,47.0,0.31767723937801584,56.0,0.8556872144255875,72.0,0.9226360180565454,0.918746607465798,0.9631955256722844
1,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.05}",0.8465976042048651,25.0,0.33890904464786253,31.0,0.8517544047100998,76.0,0.9398001306723687,0.9375376897807541,0.9745759243869175
2,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.1}",0.8555121623273438,10.0,0.35463029473456953,15.0,0.8667928447420635,55.0,0.9526015680684248,0.9510179216246197,0.9850584875642797
3,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.5}",0.8389377826671556,41.0,0.3227350238073468,50.0,0.8670829982205024,53.0,0.9882944286053693,0.9881541698949542,0.9996871399023555
4,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 1}",0.8174251314020292,61.0,0.29922607848875227,66.0,0.8688469738825688,49.0,0.9967317058683773,0.996721299237388,0.9999703012933852
5,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.01}",0.8503074196308521,19.0,0.36046899012968964,7.0,0.8657490225066311,57.0,0.920205215015443,0.9171370566842703,0.9645299158359337
6,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.05}",0.8552628040581837,11.0,0.35977811247913516,8.0,0.8615533208224543,62.0,0.9433401639344263,0.9410403862834251,0.9791153514734348
7,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.1}",0.8478395061728395,22.0,0.3429576331523782,23.0,0.8668631674411496,54.0,0.9534301496792589,0.9519330676162774,0.9899115557038141
8,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.5}",0.8332465468769099,48.0,0.32102249486325096,52.0,0.8749601709496353,34.0,0.9904683416488476,0.9903671254706239,0.9996821752858385
9,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 1}",0.807755775577558,71.0,0.29458115419308883,72.0,0.8585657478423266,68.0,0.9964599667379426,0.9964443118673649,0.9999822131449534
10,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.01}",0.8223456790123457,57.0,0.2953927070185031,71.0,0.8424362030971547,80.0,0.9185643858398669,0.9151922993551285,0.9652950580195025
11,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.05}",0.8468677423297886,23.0,0.3475190571168268,21.0,0.8555188639383626,73.0,0.9368065454977428,0.9346076277971441,0.9763533716700618
12,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.1}",0.8438833883388339,31.0,0.3364277417818937,37.0,0.8600825357000395,64.0,0.9542305179377525,0.9527813383024137,0.9898124291429298
13,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.5}",0.8609570957095709,4.0,0.363093718726163,5.0,0.8814473766007709,14.0,0.9910162746495603,0.99092418581646,0.9998038590606537
14,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 1}",0.8080149126023715,70.0,0.30077205307681054,63.0,0.8697581909994199,44.0,0.9956402946067952,0.9956193833712037,0.999992583415577
15,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.01}",0.8569966996699669,8.0,0.3367342629658673,36.0,0.8548559613820507,74.0,0.9191048942741744,0.9145550637563273,0.9585617829110689
16,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.05}",0.8461153893167094,26.0,0.3293087558933145,43.0,0.8591839848768599,65.0,0.9430713946305536,0.9413151813138981,0.977919068079079
17,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.1}",0.8371953306441753,45.0,0.32644822135567414,45.0,0.851338507831603,77.0,0.9564326443335709,0.9550695029501638,0.9901835860222505
