,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.01}",0.8441406918469625,31.0,0.3282462722357359,38.0,0.8637842365514526,59.0,0.8834521263958186,0.8779027589494717,0.9187661992343819
1,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.05}",0.8540270138124922,7.0,0.3487457799423339,8.0,0.8525398306692672,78.0,0.8861531836540747,0.8818415892662775,0.9364922974171865
2,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.1}",0.8525467546754676,10.0,0.3429140998370949,19.0,0.8707438930138526,32.0,0.9014166072701355,0.8975924704930222,0.9568655333338583
3,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.5}",0.8357279061239458,43.0,0.3239585638794479,45.0,0.8837468569006693,2.0,0.9512517818959374,0.9494802530488297,0.9864182027493044
4,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 1}",0.8223597359735972,68.0,0.3087820926583048,68.0,0.8650391839176923,54.0,0.9634993466381563,0.9623793794999471,0.9909810044311872
5,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.01}",0.8381829849651631,40.0,0.3200241082143294,50.0,0.8629306604604418,62.0,0.8856245545260156,0.8809507399895684,0.9273548668726029
6,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.05}",0.8486053049749419,18.0,0.34473456678894326,16.0,0.8705128278601476,35.0,0.8948740793537657,0.8902871966105653,0.9417900811645344
7,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.1}",0.8446277961129448,29.0,0.34626453838425125,11.0,0.8647844156020763,55.0,0.9003133167023046,0.8960497976653052,0.9577014024062214
8,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.5}",0.8342348123701259,46.0,0.3169833962636931,54.0,0.8692697446213581,43.0,0.9485165716322168,0.9467374523515304,0.9858407126008875
9,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 1}",0.836958195819582,42.0,0.3257477857404504,42.0,0.8625116350527373,64.0,0.9632320622475647,0.9620521233653134,0.9907957274105776
10,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.01}",0.8325216966141058,51.0,0.3080406824710371,70.0,0.8636758680231775,61.0,0.8826176051318603,0.8776290296346317,0.9222025703175056
