,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.01}",0.8604541009656522,21.0,0.3619509344575375,24.0,0.8659294038682706,61.0,0.9019719648372535,0.8965396058874854,0.9354640785824152
1,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.05}",0.8631823737929348,13.0,0.36432030213596567,21.0,0.874698916500891,24.0,0.9123099311000237,0.9076469209900264,0.9575449054586865
2,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.1}",0.8599718860774965,23.0,0.36964182364187137,16.0,0.8831585655163392,3.0,0.9248351746258019,0.921614389082068,0.9717858480944791
3,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.5}",0.845119178584525,43.0,0.33822321491657215,47.0,0.8643852492721414,64.0,0.9654030054644809,0.9643676371552397,0.9916690474141243
4,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 1}",0.8463598582080432,42.0,0.34554910877864325,40.0,0.8741379505729621,26.0,0.9714020551199811,0.9707585707752246,0.9952081379202978
5,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.01}",0.8535252414130301,32.0,0.3478549762258202,37.0,0.8571771171683971,77.0,0.8926823473509147,0.8881497987528298,0.9331449375626597
6,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.05}",0.8725852585258526,2.0,0.38693041635122094,2.0,0.8703588459426417,40.0,0.9136701116654787,0.9093991215780608,0.9527242750804359
7,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.1}",0.865649676078719,11.0,0.37619442161122446,8.0,0.8670182720675845,52.0,0.9153064861012116,0.9117563621081082,0.9698316165756624
8,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.5}",0.8478352279672412,38.0,0.3459079302855137,39.0,0.8694589773327739,45.0,0.9654044903777619,0.9644927447727518,0.9919380351861721
9,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 1}",0.8364723138980565,54.0,0.33103031726204424,57.0,0.8585181423934891,75.0,0.9716737942504159,0.9710623236142503,0.9954902149524341
10,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.01}",0.8678865664344212,8.0,0.3723216736980103,12.0,0.8619639886456649,66.0,0.8984304466619148,0.8926522335807248,0.9349351058763278
11,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.05}",0.8609503728150593,18.0,0.36022168755156214,27.0,0.8564321483937896,78.0,0.9046670824423855,0.8999919053756893,0.956383370455107
12,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.1}",0.8609467057816893,19.0,0.3682958495781883,18.0,0.8697426649143665,43.0,0.9172116298408172,0.9134734083481879,0.9689832329900273
13,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.5}",0.8564992054761031,27.0,0.3589764225920638,29.0,0.8730069860502404,28.0,0.9648610121168923,0.9638683251870204,0.9917964403347661
14,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 1}",0.8315065395428431,64.0,0.3259183354341322,62.0,0.8748542170145364,23.0,0.9733086837728676,0.9726738611540288,0.99481695658496
15,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.01}",0.8471201564600903,39.0,0.3326398355025643,53.0,0.8575212335260476,76.0,0.8929526015680682,0.8877778960740395,0.9317611805150194
16,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.05}",0.8649211587825448,12.0,0.374830964555305,9.0,0.8684797371679306,48.0,0.9076992753623188,0.903512983405507,0.956069381281829
17,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.1}",0.8520651509595403,34.0,0.36291894155494253,23.0,0.8813699849636331,6.0,0.9202111546685672,0.9174478780141717,0.96947825863461
18,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.5}",0.8629256814570345,15.0,0.37828541708751223,6.0,0.8745138451785197,25.0,0.9654074602043241,0.9643967119261369,0.9918054551236981
19,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 1}",0.8342348123701259,59.0,0.3240778736759721,65.0,0.8704254573075966,39.0,0.971127346162984,0.9705075224119893,0.9947283459989487
20,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.01}",0.8557609094242759,30.0,0.3618302812770636,25.0,0.8692019490291765,47.0,0.9183015561891186,0.9149171385375512,0.9715838361646949
21,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.05}",0.8735771910524385,1.0,0.3926738227646191,1.0,0.8787776549030729,15.0,0.9643190187693038,0.9631189066519358,0.9917932843207522
22,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1}",0.8414136413641364,49.0,0.328957111544726,58.0,0.8697619735652639,42.0,0.9719455333808507,0.9712381453300554,0.9950442326349181
23,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.5}",0.8312742940960762,65.0,0.3207705311659921,69.0,0.8616747207069295,67.0,0.9757617605131859,0.9753020113392041,0.9968836062525623
24,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 1}",0.8359711526708227,56.0,0.3314408782260566,54.0,0.8666022675320673,56.0,0.9741253860774531,0.9735698649226711,0.9968085826318926
25,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.01}",0.8560041559711526,28.0,0.35971953464288237,28.0,0.8611717301082203,69.0,0.9212832620574958,0.9179236960319009,0.9718472888510469
26,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.05}",0.8485771910524387,37.0,0.3400885108281283,45.0,0.8697872559666274,41.0,0.9651416607270136,0.9641887551145615,0.9925199598769305
27,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.1}",0.8448850996210732,44.0,0.3425736522200864,43.0,0.8757324149946643,22.0,0.9724979211214062,0.9719008131255207,0.9949563058534132
28,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.5}",0.8302750275027503,66.0,0.31642092426756924,73.0,0.8661306674541009,60.0,0.9773907103825137,0.9769806315380283,0.9972067759401261
29,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 1}",0.8275577557755774,73.0,0.3240312907030682,66.0,0.8719669569035184,34.0,0.9749406034687574,0.9744395063439182,0.9967479511424795
30,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.01}",0.8681267571201564,7.0,0.3726666505196344,11.0,0.8830965259322289,4.0,0.9117738774055596,0.9077155682140017,0.9706386849805548
31,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.05}",0.8530350812859062,33.0,0.3513326415663033,34.0,0.8766241324301152,19.0,0.9659539082917558,0.965091753073783,0.9907526400092946
32,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.1}",0.8537819337489303,31.0,0.3531235520669312,32.0,0.8726381231479754,32.0,0.971125861249703,0.9704703628274117,0.9951114067478551
33,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.5}",0.8292934849040459,67.0,0.31915091439397725,70.0,0.8658268148221537,62.0,0.9746673794250414,0.9742926713134572,0.9970443717524887
34,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 1}",0.8166837794890599,79.0,0.3104712684645462,78.0,0.8709610728402545,35.0,0.9757617605131859,0.9753626228177101,0.9970803541312495
35,"{'n_estimators': 100, 'max_depth': 50, 'learning_rate': 0.01}",0.8604651020657622,20.0,0.3713612393727511,14.0,0.8810155043917589,9.0,0.9221222380612971,0.9187446800144503,0.9716971565420629
36,"{'n_estimators': 100, 'max_depth': 50, 'learning_rate': 0.05}",0.8602187996577435,22.0,0.36296203310124164,22.0,0.8693648964290895,46.0,0.9667735804229032,0.9659805280592455,0.9927661273824302
37,"{'n_estimators': 100, 'max_depth': 50, 'learning_rate': 0.1}",0.8448649309375382,45.0,0.34501237253834194,41.0,0.8772788085330412,18.0,0.9719455333808504,0.9712823860978332,0.9944735845005056
38,"{'n_estimators': 100, 'max_depth': 50, 'learning_rate': 0.5}",0.8342421464368659,58.0,0.3334264654436169,52.0,0.8670540813828795,51.0,0.9757617605131859,0.97537800454894,0.9970873458625441
39,"{'n_estimators': 100, 'max_depth': 50, 'learning_rate': 1}",0.8315205965040949,63.0,0.3169967410814968,72.0,0.8668782661359258,55.0,0.9743971252078879,0.9738632150724221,0.9972373000542569
40,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.01}",0.8688711648942672,4.0,0.3819232530738133,4.0,0.8759263854244373,21.0,0.9433624376336421,0.9409815725676374,0.9827534956001692
41,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.05}",0.8399223811270016,51.0,0.33514092500527004,51.0,0.8808259179501325,10.0,0.9733071988595865,0.9726531298833004,0.9959076922004156
42,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.1}",0.8436450311697834,47.0,0.3423052490510389,44.0,0.8726735746858034,31.0,0.9746718341648848,0.9741837670972853,0.9962509347650819
