,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'entropy'}",0.8560206576213177,6.0,0.36361845427142303,7.0,0.8723026420166086,27.0,0.9517922903302445,0.9494898297173574,0.9822493540909463
1,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'gini'}",0.8424037403740374,22.0,0.32847962226260735,30.0,0.8715745818698455,28.0,0.9507038488952245,0.9484176084027249,0.9805883708513662
2,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'entropy'}",0.8547591981420364,7.0,0.36323699490500605,8.0,0.8809172378154916,21.0,0.8428828106438584,0.8382812995942072,0.8944901931091443
3,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'gini'}",0.8419031903190319,25.0,0.34718891726007745,16.0,0.8769206247215487,26.0,0.8553961748633879,0.8513564133368478,0.9018748170141612
4,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'entropy'}",0.8458641975308641,17.0,0.3402183360040771,25.0,0.8679657445073874,30.0,0.9607819553338086,0.959669654251823,0.9922733513779403
5,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'gini'}",0.8386878132257669,29.0,0.3358951226426711,27.0,0.8638371252888124,32.0,0.9667780351627464,0.9659862577020221,0.9920624865038352
6,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'entropy'}",0.8411575602004644,26.0,0.33019104121720627,29.0,0.8703401476180115,29.0,0.9665033262057495,0.9656279954574872,0.9914562768307495
7,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'gini'}",0.8349810536609216,30.0,0.32255458831478684,31.0,0.8664233779891417,31.0,0.9700344499881206,0.9691504804691178,0.992698419182277
8,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.8619423053416453,2.0,0.37427681704646887,2.0,0.8805196903881221,23.0,0.9566969588976004,0.9547224339751346,0.9857406312008976
9,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",0.8470999877765555,15.0,0.3479158141918481,15.0,0.8887228040558043,9.0,0.958599132810644,0.9567939030223489,0.9857330122886611
10,"{'n_estimators': 100, 'max_depth': 2, 'criterion': 'entropy'}",0.8512969074685246,10.0,0.36409118471344304,6.0,0.8852109794295764,14.0,0.8608458066048943,0.8569550110895385,0.9049050359149332
