,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'entropy'}",0.813973230656399,16.0,0.30533091122035555,17.0,0.8657688168282979,16.0,0.9531524708956998,0.9511005288768798,0.9787588213339076
1,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'gini'}",0.7879562400684512,32.0,0.2762416353150706,32.0,0.8410474874308405,31.0,0.9531495010691377,0.9512684802045843,0.9773351890815686
2,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'entropy'}",0.8047812003422564,28.0,0.28658810745834773,30.0,0.8398341677157155,32.0,0.8181070325492991,0.8134626283962921,0.8804053912745436
3,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'gini'}",0.8122136658110255,20.0,0.28296915462165234,31.0,0.8516559236292428,26.0,0.8262696008553101,0.8210675006469573,0.8811272315575959
4,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'entropy'}",0.8231127001589048,6.0,0.30550455357664635,14.0,0.8511932323720938,27.0,0.976036469470183,0.9754989562661025,0.9968066768785236
5,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'gini'}",0.8136908690869087,19.0,0.2912230958964254,29.0,0.8435746429024722,30.0,0.9724934663815633,0.9718345819689966,0.99499796897802
6,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'entropy'}",0.834234812370126,1.0,0.3057589624876626,13.0,0.8436896359800446,29.0,0.9833927298645758,0.9832285272361885,0.9992381351036549
7,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'gini'}",0.8151894633907835,15.0,0.29559282919309576,25.0,0.8443486887860562,28.0,0.9866521145165121,0.9865295780587525,0.999335691727713
8,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.8092482581591494,23.0,0.30623531006745947,12.0,0.8680916991742302,12.0,0.9607819553338086,0.9591622195286904,0.9852135600587413
9,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",0.8023157315731572,29.0,0.2957683203306849,24.0,0.8664271087501035,14.0,0.9607804704205274,0.9591638291089121,0.9811060671334056
10,"{'n_estimators': 100, 'max_depth': 2, 'criterion': 'entropy'}",0.8154259870431488,14.0,0.3031477964726762,19.0,0.8590855976923516,22.0,0.8325151461154668,0.8276542768768721,0.8888029677457785
11,"{'n_estimators': 100, 'max_depth': 2, 'criterion': 'gini'}",0.8231102554699914,7.0,0.30473805266079224,18.0,0.8570496107834453,25.0,0.83690009503445,0.8325008348815256,0.8917160911444075
12,"{'n_estimators': 100, 'max_depth': 20, 'criterion': 'entropy'}",0.8179049016012712,13.0,0.3126007012113089,6.0,0.8660743887347694,15.0,0.9814816464718458,0.9811106625517573,0.9991682864974962
13,"{'n_estimators': 100, 'max_depth': 20, 'criterion': 'gini'}",0.8003477569979222,31.0,0.293375075415944,28.0,0.8651442425996725,18.0,0.984203492516037,0.9839284809759116,0.9989898353064299
14,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'entropy'}",0.8223548465957707,8.0,0.31470821464649956,2.0,0.8753179451787785,4.0,1.0,1.0,1.0
15,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'gini'}",0.8077643319887546,26.0,0.2992008366786959,22.0,0.8735256856699927,5.0,1.0,1.0,1.0
16,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'entropy'}",0.8253275883143869,3.0,0.3184103375924677,1.0,0.8730336679928717,6.0,0.9607804704205274,0.9591638291089121,0.9858268626270279
17,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'gini'}",0.8179110133235545,12.0,0.3145611530900841,5.0,0.8700929347206682,10.0,0.9607804704205274,0.9591638291089121,0.9828234089882713
18,"{'n_estimators': 200, 'max_depth': 2, 'criterion': 'entropy'}",0.8243374893044862,4.0,0.3053996439371579,16.0,0.8595142029559867,21.0,0.8363090995485865,0.8314218549127403,0.8921793062086494
19,"{'n_estimators': 200, 'max_depth': 2, 'criterion': 'gini'}",0.8235943038748319,5.0,0.3054912807124472,15.0,0.8621271732148038,20.0,0.8360492397244,0.8318388549199032,0.8923816984071202
20,"{'n_estimators': 200, 'max_depth': 20, 'criterion': 'entropy'}",0.8102426353746484,22.0,0.3067485413046801,11.0,0.8762732862945006,2.0,0.9836540746020432,0.9833635629247139,0.9992488331206403
21,"{'n_estimators': 200, 'max_depth': 20, 'criterion': 'gini'}",0.8114698692091432,21.0,0.30938471484754854,9.0,0.8701448885417961,9.0,0.9847454858636254,0.9844947835696549,0.999067622456907
22,"{'n_estimators': 200, 'max_depth': None, 'criterion': 'entropy'}",0.808005133846718,25.0,0.2999218025849731,20.0,0.8754406677066495,3.0,1.0,1.0,1.0
23,"{'n_estimators': 200, 'max_depth': None, 'criterion': 'gini'}",0.8008330277472192,30.0,0.2934150032584974,27.0,0.8702824475022277,8.0,0.9997267759562842,0.9997260273972604,0.9999985069724386
24,"{'n_estimators': 50, 'max_depth': 10, 'criterion': 'entropy'}",0.8186438088253268,11.0,0.3147032617588847,3.0,0.8675727688608624,13.0,0.9588693870277976,0.9570679245864744,0.9838055460759595
25,"{'n_estimators': 50, 'max_depth': 10, 'criterion': 'gini'}",0.8136945361202788,18.0,0.3145941999459487,4.0,0.8718738044404555,7.0,0.9594188049417914,0.9576843874041447,0.9806657008238915
26,"{'n_estimators': 50, 'max_depth': 2, 'criterion': 'entropy'}",0.8263146314631464,2.0,0.3092593696178994,10.0,0.858556583234904,24.0,0.8297962698978381,0.8257591564552064,0.8862076365600904
27,"{'n_estimators': 50, 'max_depth': 2, 'criterion': 'gini'}",0.8139561178340056,17.0,0.2995935280252591,21.0,0.8588553233725496,23.0,0.8327868852459017,0.828683220353214,0.8898163490017683
28,"{'n_estimators': 50, 'max_depth': 20, 'criterion': 'entropy'}",0.8218683535020169,9.0,0.30964614535832824,8.0,0.8653231094779622,17.0,0.9814861012116893,0.981113759858353,0.9988856268247606
29,"{'n_estimators': 50, 'max_depth': 20, 'criterion': 'gini'}",0.8067650653954285,27.0,0.29490578884421637,26.0,0.8622425791125305,19.0,0.9858368971252078,0.985627457146447,0.9990161595308559
30,"{'n_estimators': 50, 'max_depth': None, 'criterion': 'entropy'}",0.8211184451778513,10.0,0.3115085999712123,7.0,0.8693409131970347,11.0,0.9997282608695652,0.9997289972899729,1.0
31,"{'n_estimators': 50, 'max_depth': None, 'criterion': 'gini'}",0.8085050727294952,24.0,0.29779220610814894,23.0,0.8783344212358571,1.0,0.9994565217391305,0.9994550408719347,0.9999985231568997
