,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.01}",0.8315132624373549,48.0,0.32424603158143533,49.0,0.8571816306687492,75.0,0.9166636968401045,0.9134121048917176,0.9602462374999867
1,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.05}",0.8295483437232614,50.0,0.32397828803229156,50.0,0.8740848570444278,38.0,0.9389982775005941,0.9365044179547353,0.976909975661181
2,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.1}",0.8401662388461067,39.0,0.3311698034813444,41.0,0.8616824776785714,69.0,0.9498916013304823,0.9480188724057438,0.9854057924727817
3,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.5}",0.8364539787312065,44.0,0.3278273958995534,44.0,0.8768784126466078,26.0,0.9863788904727965,0.9861691479330734,0.9992728348528488
4,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 1}",0.8131952084097296,64.0,0.29408596664929176,74.0,0.8702148259420717,47.0,0.9959135186505108,0.9958918545737179,0.9999509890418551
5,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.01}",0.8518054027624986,23.0,0.3379809935593471,36.0,0.8603430284551266,73.0,0.9163860180565454,0.9129662343434071,0.9656925233356819
6,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.05}",0.8525498105366092,20.0,0.35112113689472846,20.0,0.8630228925773965,64.0,0.941720123544785,0.9395684554557627,0.9796815648450095
7,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.1}",0.8411752841950862,34.0,0.33986121904897004,31.0,0.8612277910851569,70.0,0.9526075077215491,0.9509630748758633,0.9884307838367178
8,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.5}",0.83671311575602,43.0,0.32851977989028763,42.0,0.8797162387583406,20.0,0.990196602518413,0.9900961635550753,0.9996200669533252
9,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 1}",0.8025675345312309,77.0,0.287903935001221,79.0,0.8603545364240126,72.0,0.9961852577809458,0.9961673408819471,0.9999719076121742
10,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.01}",0.8335026280405818,46.0,0.3144666355208556,57.0,0.8514744122736128,78.0,0.9155589213589927,0.9122671475386916,0.9599755991334031
11,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.05}",0.8424110744407773,33.0,0.3397657022960462,33.0,0.8585808991514361,74.0,0.933812960323117,0.9316421829022156,0.9807617765918085
12,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.1}",0.861449700525608,10.0,0.3664473213927334,7.0,0.8754502872256931,36.0,0.9564103706343549,0.9548648474063859,0.9905971790436677
13,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.5}",0.8381970419264148,42.0,0.3349569732486441,38.0,0.8709832331880207,45.0,0.99155975291043,0.9914796535952123,0.9998044093323311
14,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 1}",0.8280589170028113,52.0,0.3281668616101895,43.0,0.8756068869086471,35.0,0.9956462342599194,0.9956238995368698,0.9999776855088861
