,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.01}",0.8352279672411684,26.0,0.3070124469868464,33.0,0.8402242188147561,44.0,0.846952957947256,0.8381274898367355,0.8825065625740691
1,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.05}",0.8273077863341889,40.0,0.3012503565988278,42.0,0.8418137747238801,39.0,0.857843311950582,0.8501018613151883,0.9119915722545467
2,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.1}",0.8409143136535876,10.0,0.31955004438511636,9.0,0.8381086037548178,53.0,0.8616639938227607,0.8537774830952506,0.9188598230784917
3,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.5}",0.8188907224055739,57.0,0.29522787874595857,54.0,0.8489264271921236,13.0,0.9085011285340936,0.9036391853324901,0.9532865277130753
4,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 1}",0.8307719105243858,33.0,0.30932356278353257,29.0,0.8426730177833208,35.0,0.9275466262770253,0.9240316677787448,0.9649432013525898
5,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.01}",0.8443686590881312,5.0,0.3180006070684037,15.0,0.84195395792537,37.0,0.8428575671180804,0.8334756849683409,0.8785459853511984
6,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.05}",0.838680479159027,17.0,0.32005461826077225,8.0,0.8383078663770774,52.0,0.8586659539082916,0.851534828348127,0.902740914558619
7,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.1}",0.8206221733284439,51.0,0.30016329684717247,45.0,0.8471935053190662,20.0,0.8641007365169873,0.8580343013523999,0.9211688328901946
8,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.5}",0.8315199853318666,32.0,0.3133387477392109,22.0,0.8473018309464233,19.0,0.9142224994060347,0.9098017168445427,0.9565348137054398
9,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 1}",0.8136865908813105,65.0,0.29462653170823394,55.0,0.848251559326951,15.0,0.9281019838441436,0.9246786742154791,0.9658714478450616
