,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.01}",0.792436132502139,50.0,0.26441458141360086,63.0,0.8147388888241329,78.0,0.9112289142314088,0.9087556320570453,0.9647653569685664
1,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.05}",0.7758397506417307,71.0,0.25651315135106006,72.0,0.8221705379483712,75.0,0.9427996555001188,0.9412303258113104,0.9760070783124286
2,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.1}",0.8023212321232123,38.0,0.2765724255168951,44.0,0.8400388633749845,63.0,0.9558817415062959,0.9545506168913136,0.9824222336379561
3,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.5}",0.8141834739029459,25.0,0.306340431620089,25.0,0.8664331456377699,22.0,0.9833867902114516,0.983112955945718,0.9991961361184055
4,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 1}",0.7874819704192642,56.0,0.2697355049957308,53.0,0.856546831451521,40.0,0.9961897125207889,0.9961733581112491,0.9999792594587529
5,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.01}",0.7701637941571935,74.0,0.2436175877176731,79.0,0.8156296341085933,77.0,0.9174893086243763,0.9149920585102134,0.9666116617249993
6,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.05}",0.8043154871042659,37.0,0.28012506955560296,41.0,0.8467107234810808,53.0,0.93763958184842,0.9353807583643153,0.9756566012054518
7,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.1}",0.808755653343112,32.0,0.29610277247001243,31.0,0.8574171405194477,36.0,0.9594188049417914,0.958218678982148,0.9873274403937676
8,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.5}",0.808252047426965,34.0,0.290986062862783,32.0,0.8609722675514941,31.0,0.991558267997149,0.991479666035701,0.9997869137975842
9,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 1}",0.7770834861263903,69.0,0.2615791425310644,67.0,0.8468536183443678,52.0,0.997278153955809,0.9972692444428672,0.9999732711640468
10,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.01}",0.7686829238479403,78.0,0.24964628872652161,77.0,0.8237672898793983,74.0,0.9120277975766216,0.9098403455944684,0.9631054380667756
11,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.05}",0.7919190807969686,51.0,0.2557625595856538,73.0,0.8138304537913402,79.0,0.9425308861962461,0.9404474938281748,0.9768019800597137
12,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.1}",0.789698080919203,53.0,0.2751477907645287,45.0,0.8432248854788325,57.0,0.9596905440722262,0.9585411240095342,0.9854478561517759
13,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.5}",0.8000794523896835,42.0,0.2897577395926937,34.0,0.860613452368001,32.0,0.9880152649085293,0.9878861175488863,0.9994825101470133
14,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 1}",0.7929201809069796,49.0,0.26346514717476116,64.0,0.8473109340355485,51.0,0.9967361606082206,0.9967168119625853,0.9999837223569756
15,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.01}",0.7689267815670456,77.0,0.23741171946454384,80.0,0.8123939715953832,80.0,0.9147659776669043,0.9123595162081376,0.9665410969895118
16,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.05}",0.8062724605793912,36.0,0.28154287847861026,38.0,0.8327952230718223,71.0,0.9403495485863627,0.9385162958088401,0.9782799316852397
17,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.1}",0.7822882288228823,65.0,0.2693046399058353,54.0,0.8329371619731443,70.0,0.9594173200285103,0.9582127167343408,0.9851962992648293
18,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.5}",0.8124526341523041,29.0,0.30202964134869764,28.0,0.865201440855661,27.0,0.990202542171537,0.9900947162023377,0.9997127965067358
19,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 1}",0.785741351912969,58.0,0.26188994265515797,66.0,0.8404084920181626,61.0,0.9964569969113806,0.9964443200932884,0.9999733197174299
20,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.01}",0.8005977264393108,40.0,0.2744262080207359,46.0,0.8414518682459387,59.0,0.9580556545497743,0.9567866040328552,0.982145493553141
21,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.05}",0.834732917736218,1.0,0.3298261907978814,3.0,0.8748180418272617,8.0,0.9828462817771442,0.9825297620845159,0.9990275979759119
22,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1}",0.8223524019068573,21.0,0.31684665102584775,15.0,0.8654740073860812,26.0,0.9953715253029223,0.9953424204088719,0.9999703984001517
23,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.5}",0.7825198630974209,64.0,0.26519347181859626,61.0,0.8460632353055454,54.0,0.9991832976954147,0.9991810682691948,0.9999955532862383
24,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 1}",0.7763311331133114,70.0,0.2587823280979966,69.0,0.8394457897524761,64.0,0.9994565217391305,0.9994565177259404,0.9999970463137997
25,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.01}",0.808006967363403,35.0,0.28041947256592936,40.0,0.833409565026783,67.0,0.9610536944642434,0.9599662402564313,0.9863937316236248
26,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.05}",0.8273028969563623,10.0,0.32377872710622313,6.0,0.8769566032121618,4.0,0.9910103349964361,0.990918018675956,0.9998201205192169
27,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.1}",0.8235949150470601,16.0,0.3149104749848907,18.0,0.8663450991933981,23.0,0.9975454383464004,0.9975312029153537,0.9999733520863522
28,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.5}",0.7891932526585992,54.0,0.26821981635954584,58.0,0.840317625445522,62.0,0.9997282608695652,0.9997275204359675,0.9999985231569
29,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 1}",0.7649608849773866,80.0,0.25542213721555357,74.0,0.8540754382693023,44.0,0.9997282608695652,0.9997275204359675,0.9999985231569
30,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.01}",0.8087452634152303,33.0,0.28847389123859435,35.0,0.851211069440559,47.0,0.9643234735091472,0.9634010198446195,0.9872021636244888
31,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.05}",0.8297793668255714,5.0,0.33110509866215704,1.0,0.8848384691398318,1.0,0.9918300071275835,0.9917581505237714,0.9998709481941452
32,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.1}",0.8275602004644907,9.0,0.3112462514082866,20.0,0.8691701675434643,18.0,0.997278153955809,0.9972647407834598,0.9999940764431381
33,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.5}",0.7953905390539054,45.0,0.28153675359917657,39.0,0.8624898025327408,29.0,0.9994550368258495,0.9994535478332276,0.9999985069724386
34,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 1}",0.7731237012590148,72.0,0.2585293217438457,70.0,0.8439639865410916,56.0,0.9997282608695652,0.9997275204359675,0.9999985231569
