,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'entropy'}",0.7849999999999999,25.0,0.2625175726713166,28.0,0.8257132739001823,27.0,0.9417126989783797,0.9389767730050907,0.9749604982726885
1,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'gini'}",0.7716403862608483,32.0,0.24563806591163959,32.0,0.8205014542601745,30.0,0.9463441435020193,0.9438995802511331,0.9732425657511415
2,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'entropy'}",0.7756032269893656,29.0,0.24585673835670488,31.0,0.8186292242024636,31.0,0.7935851746258018,0.789742726715264,0.859956625697172
3,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'gini'}",0.7728688424397996,31.0,0.2469688509839662,30.0,0.8158767353016598,32.0,0.7963070206699929,0.7901517591144988,0.8592078421671314
4,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'entropy'}",0.8087513751375137,5.0,0.27414699082794014,18.0,0.8217397075031603,28.0,0.9675917676407698,0.966594653875311,0.9938971463420601
5,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'gini'}",0.7743594915047061,30.0,0.2475446931257784,29.0,0.820619556440124,29.0,0.9711273461629842,0.9703853659335271,0.9946374615182025
6,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'entropy'}",0.8136939249480504,3.0,0.27469718368774365,17.0,0.8274083029303432,25.0,0.9844737467331909,0.9843076166708398,0.999125850531797
7,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'gini'}",0.8181579269038014,1.0,0.28441077271327286,10.0,0.8291825691465663,24.0,0.9877420408648134,0.9876165929030186,0.9993697683531048
8,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.8060316587214276,10.0,0.29154488764240283,2.0,0.8532842983935307,9.0,0.9531584105488241,0.9508329065590546,0.9817590421375841
9,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",0.8043020413152426,11.0,0.28658462277967806,8.0,0.8541044279575406,8.0,0.9545141363744356,0.9523100098815901,0.9775878021038255
10,"{'n_estimators': 100, 'max_depth': 2, 'criterion': 'entropy'}",0.8082728272827284,6.0,0.2793979562926518,15.0,0.8327931492576361,22.0,0.8126202779757662,0.8056023750893182,0.868514397375551
11,"{'n_estimators': 100, 'max_depth': 2, 'criterion': 'gini'}",0.7966287739885101,18.0,0.2741415879671852,19.0,0.8302813911683037,23.0,0.8183683772867665,0.8116843373709571,0.8712138356144056
12,"{'n_estimators': 100, 'max_depth': 20, 'criterion': 'entropy'}",0.7996039603960396,16.0,0.2794070840137236,14.0,0.8554083738382754,5.0,0.9765784628177713,0.9760100028074001,0.9984208056622267
13,"{'n_estimators': 100, 'max_depth': 20, 'criterion': 'gini'}",0.7820254247646987,26.0,0.26640151314272176,26.0,0.8495242012982303,11.0,0.9776654193395107,0.9771442449486711,0.9977894046769921
14,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'entropy'}",0.8067723994621684,8.0,0.29086935995176766,3.0,0.8604057730713043,2.0,1.0,1.0,1.0
15,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'gini'}",0.7887067595648454,22.0,0.27410165872617226,20.0,0.8430087466067802,18.0,1.0,1.0,1.0
16,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'entropy'}",0.8040563500794524,12.0,0.28717836792081053,5.0,0.8526914004219508,10.0,0.9545141363744356,0.9523218979839803,0.9829549168191727
17,"{'n_estimators': 200, 'max_depth': 10, 'criterion': 'gini'}",0.7968695758464734,17.0,0.28373553151582187,11.0,0.8487772404640163,13.0,0.9550561297220241,0.9529106995765352,0.9796032761085363
