,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'entropy'}",0.7679403495905146,26.0,0.24439727876284975,29.0,0.81118661025115,31.0,0.9368228795438347,0.9336724053884907,0.9677123428461485
1,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'gini'}",0.7563134091186897,31.0,0.24198866948492143,30.0,0.8176329734189149,27.0,0.9376262176288905,0.934400715915013,0.9680308432946354
2,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'entropy'}",0.7563085197408629,32.0,0.23600599627894542,31.0,0.8263422936352522,21.0,0.7869980993110002,0.7854902603400111,0.8445668049678702
3,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'gini'}",0.7706704559344824,22.0,0.24695949776343468,28.0,0.816469413911942,28.0,0.7867590282727489,0.7739410034751717,0.8511146168682423
4,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'entropy'}",0.7671886077496639,28.0,0.2484439320443757,26.0,0.8117003333644164,30.0,0.962685614160133,0.9613416790388971,0.9918943247051863
5,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'gini'}",0.7733797824226867,20.0,0.2555914755200773,22.0,0.8219615530067553,23.0,0.9640443098123068,0.9628737408410444,0.9918907599784056
6,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'entropy'}",0.786980198019802,8.0,0.24979142779153768,25.0,0.8213866119024308,24.0,0.9833867902114518,0.9831433741527681,0.9991649605686905
7,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'gini'}",0.7798117589536732,14.0,0.23330480263146947,32.0,0.7886953563722596,32.0,0.9877346162984081,0.9875948365181462,0.9994060784782279
8,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.7817876787678768,12.0,0.26325534152785324,10.0,0.8387571474548261,16.0,0.9474296151104775,0.9444639710889774,0.9735736293985819
9,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",0.7783266104388218,16.0,0.2653776821999252,6.0,0.8426432947322204,9.0,0.9507053338085054,0.9481239322732049,0.9708323902687541
10,"{'n_estimators': 100, 'max_depth': 2, 'criterion': 'entropy'}",0.8047946461312797,1.0,0.27811474275886566,1.0,0.8287547385278089,19.0,0.7992946661914944,0.7893046085443578,0.8611805969119253
