,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.01}",0.8248294829482947,69.0,0.3019865463150618,78.0,0.8373076913737101,75.0,0.8711808030411025,0.8662821348326164,0.90841489732846
1,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.05}",0.8369630851974087,42.0,0.3160552014414153,57.0,0.8237699197866158,80.0,0.8815425279163696,0.8761590144613638,0.9350623045834364
2,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.1}",0.8322705048282606,57.0,0.3262837975394908,37.0,0.865109167456691,33.0,0.8951517581373247,0.8912228133761271,0.9471626583780495
3,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.5}",0.8483370003667033,16.0,0.3358676204252162,18.0,0.8741812513598779,9.0,0.9458036350677119,0.9436923721836263,0.9752093928819331
4,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 1}",0.8391889744530008,36.0,0.3334965663701085,24.0,0.8660933590350304,29.0,0.9561460560703254,0.9543949131706781,0.9815789482016667
5,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.01}",0.8337452634152305,50.0,0.30363285029472464,75.0,0.8355312655414646,77.0,0.8728142076502732,0.866533648719715,0.9086572249713404
6,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.05}",0.8327392739273927,55.0,0.3059159549075087,73.0,0.839875241702153,72.0,0.8839703611309101,0.8796876215023476,0.9326689652623289
7,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.1}",0.83671311575602,44.0,0.3244595735495954,41.0,0.8456041647239836,65.0,0.8913310762651461,0.8868245425124947,0.9478684397508484
8,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.5}",0.847095709570957,18.0,0.3530550237181382,5.0,0.8788716394820548,4.0,0.9436208125445475,0.9414276213341968,0.9753796587487237
9,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 1}",0.8273175650898423,65.0,0.31129948672478613,66.0,0.869417504286854,21.0,0.9553352934188644,0.9537274890718122,0.9822172154996469
10,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.01}",0.8352371348245935,49.0,0.31249781023349416,63.0,0.8340387693167454,79.0,0.8692905084343074,0.863404228032288,0.9087795032935795
11,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.05}",0.8334916269404717,51.0,0.3124022221048777,64.0,0.8474997701158358,63.0,0.871724281301972,0.8665024642601262,0.9295934172580637
12,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.1}",0.8428877887788779,26.0,0.32108083477882127,47.0,0.8467426862838803,64.0,0.8926942266571631,0.8880972937232279,0.94716943155297
13,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.5}",0.8552566923359004,2.0,0.3581414315941075,2.0,0.8720387252825956,13.0,0.9449839629365645,0.9425558374608171,0.9768775296533194
14,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 1}",0.828797824226867,63.0,0.3141073654835044,60.0,0.8658032290306789,30.0,0.9572344975053457,0.9556971079018861,0.9822453119005135
