,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
0,"{'kernel': 'linear', 'C': 0.01}",0.917862730717516,2.0,0.47978165887133783,2.0,0.8824582719769261,2.0,0.8510394392967451,0.8340566724349563,0.892940588243898
1,"{'kernel': 'linear', 'C': 0.1}",0.9183571690502383,1.0,0.48175946661356017,1.0,0.8672357602949251,7.0,0.8649204086481349,0.851890209478183,0.9034976977105764
2,"{'kernel': 'linear', 'C': 0.25}",0.8995483437232613,4.0,0.41553804820996343,6.0,0.8745515745122571,4.0,0.8782653243050605,0.8677526811511258,0.9055870583665397
3,"{'kernel': 'linear', 'C': 0.5}",0.9069740862975186,3.0,0.44042401683458765,3.0,0.8548175391580152,10.0,0.8750296982656213,0.8634672303324281,0.901718651693731
4,"{'kernel': 'linear', 'C': 1}",0.8992904290429043,5.0,0.4269727232242899,5.0,0.8607865025293734,9.0,0.8788147422190544,0.8682715986126188,0.9049876421540752
5,"{'kernel': 'linear', 'C': 2}",0.8748129812981299,8.0,0.3845861196679839,8.0,0.85084838831774,11.0,0.8878118317890236,0.8798320440982479,0.9097674708003038
6,"{'kernel': 'rbf', 'C': 0.01}",0.8656545654565455,9.0,0.34791883955069475,11.0,0.7863571122598844,12.0,0.7938450344499881,0.7762271761524457,0.7986646116034856
7,"{'kernel': 'rbf', 'C': 0.1}",0.8560072118322942,12.0,0.34281008551100534,12.0,0.863892402716907,8.0,0.8115348063673082,0.7993162583136046,0.8798946342896725
8,"{'kernel': 'rbf', 'C': 0.25}",0.8597206942916514,11.0,0.3558226073945755,10.0,0.8713877111372724,6.0,0.8357878949869327,0.8264427181879371,0.8961926898001409
9,"{'kernel': 'rbf', 'C': 0.5}",0.8621910524385772,10.0,0.3623817580452856,9.0,0.8741323855953935,5.0,0.8605829769541458,0.8522158792101404,0.9102579445982771
10,"{'kernel': 'rbf', 'C': 1}",0.8854455445544553,7.0,0.4074879455064213,7.0,0.8809760744008764,3.0,0.8899812900926584,0.8803419254435422,0.9201835762145553
11,"{'kernel': 'rbf', 'C': 2}",0.8973248991565825,6.0,0.43109406065990996,4.0,0.8868936165700505,1.0,0.9033276906628652,0.8938316755324834,0.937181788755044
