number_of_features,algorithm,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
50,lr,"{'solver': 'saga', 'penalty': 'l1', 'C': 2}",0.8720865419875319,161.0,0.37402966736418064,193.0,0.871877700329479,501.0,0.8782727488714659,0.8703803107129889,0.9246303344283662
50,lr,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.01}",0.8834714582569367,130.0,0.3984142635328851,123.0,0.8790575712511398,301.0,0.8385231052506533,0.8284593226009275,0.8963301735338314
50,lr,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.1}",0.8723383449456055,156.0,0.3888486115900574,134.0,0.8818401442183161,202.0,0.8684604419101924,0.8602239438555899,0.920602040714664
50,lr,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.25}",0.8649119911991198,215.0,0.3683487509604835,219.0,0.8843878192799641,128.0,0.8706551437396056,0.8627980691938786,0.9223766962885168
50,lr,"{'solver': 'saga', 'penalty': 'l2', 'C': 0.5}",0.8696131279794648,178.0,0.3665811465427317,233.0,0.8697336589593954,563.0,0.872027203611309,0.8650232268274556,0.9232347094521092
50,lr,"{'solver': 'saga', 'penalty': 'l2', 'C': 1}",0.8589817870675956,271.0,0.3474727776020943,391.0,0.876243368165641,385.0,0.8790968757424567,0.8718862291437945,0.9261934129236268
50,lr,"{'solver': 'saga', 'penalty': 'l2', 'C': 2}",0.8609583180540277,247.0,0.3466093169389147,403.0,0.8574888805677299,824.0,0.8796284746970778,0.8727915735953286,0.9274452701853516
50,rf,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'entropy'}",0.8515548221488816,375.0,0.34364286964499746,440.0,0.8691701027873618,581.0,0.9479790330244716,0.9453744388821927,0.9817020359674572
50,rf,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'gini'}",0.8223615694902824,795.0,0.3156342878662831,745.0,0.8680758104550023,603.0,0.955602577809456,0.9538972986638756,0.9831260606599036
50,rf,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'entropy'}",0.8359638186040825,621.0,0.33293441576327026,558.0,0.8807809051737536,247.0,0.8447760750772154,0.8408141711033593,0.8956856349556221
50,rf,"{'n_estimators': 10, 'max_depth': 2, 'criterion': 'gini'}",0.8275608116367191,742.0,0.31958397703723235,701.0,0.8647740708146836,687.0,0.8354998218104065,0.8307015302846553,0.8928234362063897
50,rf,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'entropy'}",0.8325223077863342,677.0,0.3206936304642764,692.0,0.8818872372844917,199.0,0.976040924210026,0.9756377155828894,0.9972740026194872
50,rf,"{'n_estimators': 10, 'max_depth': 20, 'criterion': 'gini'}",0.8325051949639407,683.0,0.3219529352620639,679.0,0.8592261006270979,795.0,0.9803946899501068,0.9801436968476592,0.9983462958871719
50,rf,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'entropy'}",0.8295416208287495,713.0,0.3250117247250632,646.0,0.8890013653824236,45.0,0.9782103825136612,0.9781081949813208,0.9978333579689936
50,rf,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'gini'}",0.8230931426475981,787.0,0.3077822078560995,810.0,0.8746210659048759,429.0,0.9765814326443336,0.9763922918958812,0.9982550998004251
50,rf,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'entropy'}",0.8480955873365115,427.0,0.3529921709633526,340.0,0.8944760478508744,9.0,0.9580586243763364,0.956200100974943,0.9884037757636864
50,rf,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",0.8394242757609096,575.0,0.3472915169836493,394.0,0.8916530476488355,19.0,0.9605072463768116,0.9588576280527504,0.989139118209032
50,rf,"{'n_estimators': 100, 'max_depth': 2, 'criterion': 'entropy'}",0.8443772154993278,494.0,0.3481726136974314,382.0,0.8822862635793547,194.0,0.8540434188643384,0.8507357610037897,0.9070119731602472
50,rf,"{'n_estimators': 100, 'max_depth': 2, 'criterion': 'gini'}",0.8532862730717516,348.0,0.35605359184232444,315.0,0.8824237229772784,190.0,0.8502346162984082,0.8468962212436442,0.8990034942860085
50,rf,"{'n_estimators': 100, 'max_depth': 20, 'criterion': 'entropy'}",0.8349834983498351,638.0,0.3374045365450352,512.0,0.8978602284854326,3.0,0.9880226894749344,0.9878845918191936,0.9994419839477242
50,rf,"{'n_estimators': 100, 'max_depth': 20, 'criterion': 'gini'}",0.8347378071140448,645.0,0.34019642067485484,484.0,0.9005474367591901,1.0,0.9877435257780944,0.9876389649726828,0.9989452913036478
