number_of_features,algorithm,Parameter_combo,Acc_val,Acc_rank,F1_val,F1_rank,AUC_val,AUC_rank,Acc_train,F1_train,AUC_train
5000,xgb,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.1}",0.7902187996577437,1126.0,0.28135130334992703,1002.0,0.8545675733168594,723.0,0.9681382157282016,0.967344284144691,0.9917450178919172
5000,xgb,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.5}",0.8189133357780222,779.0,0.3164911628568015,548.0,0.8847116580735319,43.0,0.9948265621287716,0.9947869110234911,0.9999555004934612
5000,xgb,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 1}",0.790684512895734,1122.0,0.2813885771407652,1001.0,0.8543233472947491,730.0,0.9991847826086956,0.9991810723485356,0.9999940926275992
5000,xgb,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.01}",0.7619869209143136,1307.0,0.23312848639482545,1301.0,0.7978439560862965,1277.0,0.9234779638869092,0.9218651882113368,0.9730043043769386
5000,xgb,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.05}",0.7743570468157926,1258.0,0.2466178635731183,1285.0,0.8285760084467859,1148.0,0.9482537419814684,0.9469615513003904,0.9841033342949814
5000,xgb,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.1}",0.8043038748319276,983.0,0.2842696554421427,967.0,0.8536016761469603,747.0,0.9654104300308862,0.964516832878264,0.9915168435823184
5000,xgb,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.5}",0.8184103410341035,790.0,0.3080282304487472,662.0,0.8655665559984873,481.0,0.99428011404134,0.9942390074246402,0.9999645557655954
5000,xgb,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 1}",0.7978706759564845,1060.0,0.2862663430511706,948.0,0.8467200928796779,901.0,0.99891155856498,0.9989085887051624,0.9999985231569
5000,xgb,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.01}",0.7580442488693315,1311.0,0.2311841309236709,1302.0,0.8041778540928446,1267.0,0.9163830482299832,0.9144279737064712,0.9724721109630924
5000,xgb,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.05}",0.7860029336266958,1173.0,0.27488278015004364,1070.0,0.8296308562181399,1140.0,0.9520625445473984,0.951001791640795,0.9858316128766093
5000,xgb,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.1}",0.7916801124556901,1115.0,0.26431946602666895,1175.0,0.8280346393344107,1149.0,0.9637755405084344,0.9627603786870952,0.9917532517695764
5000,xgb,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.5}",0.8216141058550299,731.0,0.2986073066466469,794.0,0.851384623080629,792.0,0.9956432644333572,0.995619379089026,0.9999615373415508
5000,xgb,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 1}",0.7956460090453491,1078.0,0.271752971033834,1105.0,0.8384206350825251,1053.0,0.9986398194345452,0.9986346201817632,1.0
5000,xgb,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.01}",0.8050433932282118,974.0,0.2893626383023432,905.0,0.8394295392085249,1037.0,0.9651372059871705,0.9641799878443498,0.9870130590008791
